ride ID,rider name,driver ID,promotion used?,wait time,ride duration,ride cost,revenue earned
4578.0,Jason Brown,4391.0,pre-trt,3.0,26.0,35.58,7.116
2177.0,Jacob Stein,1631.0,pre-trt,9.0,25.0,36.4,7.279999999999999
3492.0,Cody Brown,235.0,pre-trt,2.0,24.0,35.25,7.05
4094.0,Larry Morales,2161.0,pre-trt,7.0,28.0,27.65,5.529999999999999
4478.0,Jessica Hendricks,3951.0,pre-trt,1.0,9.0,11.83,2.366
546.0,Brian Moore,4473.0,pre-ctrl,7.0,21.0,17.46,3.492
7709.0,Scott Baker,3321.0,pre-trt,6.0,8.0,3.07,0.614
3441.0,Ruth Hoffman,3571.0,pre-trt,9.0,11.0,13.53,2.706
7483.0,Daniel George,78.0,pre-ctrl,1.0,24.0,9.27,1.8539999999999999
6798.0,David Moody,3977.0,pre-trt,8.0,18.0,21.07,4.214
6249.0,Brian Maxwell,2550.0,pre-trt,7.0,27.0,6.34,1.268
3163.0,Cory Cooper,2476.0,pre-trt,9.0,23.0,27.56,5.512
6903.0,Morgan Foster,1592.0,pre-trt,10.0,9.0,10.54,2.1079999999999997
5494.0,James Sandoval,3644.0,pre-ctrl,11.0,28.0,38.22,7.644
9074.0,Brian Lester,1352.0,pre-trt,4.0,30.0,41.8,8.36
9866.0,Anne Davis,4565.0,pre-ctrl,8.0,16.0,18.98,3.7960000000000003
5842.0,Miss Amanda Harris MD,3500.0,pre-ctrl,10.0,11.0,11.97,2.394
6310.0,Amy Dunn,4879.0,pre-trt,5.0,13.0,7.0,1.4
4139.0,Brian Lee,707.0,pre-trt,11.0,12.0,10.27,2.054
231.0,Kimberly Pratt,629.0,pre-trt,1.0,7.0,8.64,1.7280000000000002
8215.0,Russell Yang,1343.0,pre-trt,3.0,8.0,8.67,1.734
1053.0,Renee Fisher,4382.0,pre-trt,2.0,10.0,9.0,1.8
3511.0,Rebecca Castro,1852.0,pre-ctrl,2.0,19.0,25.33,5.066
9503.0,Robert Yoder,2620.0,pre-trt,7.0,19.0,19.25,3.85
1883.0,Todd Young,121.0,pre-trt,9.0,17.0,25.28,5.056
855.0,John Houston,21.0,pre-ctrl,8.0,7.0,10.26,2.052
2624.0,Matthew Valdez,2458.0,pre-trt,9.0,26.0,28.72,5.744
4483.0,Gary Nguyen,2643.0,pre-trt,11.0,21.0,8.13,1.6260000000000001
2812.0,Alexander Poole,3021.0,pre-ctrl,4.0,22.0,26.17,5.234
1148.0,Dean Welch,3732.0,pre-ctrl,3.0,27.0,23.2,4.64
3215.0,Andrew Perez,2264.0,pre-ctrl,10.0,26.0,30.03,6.006
631.0,Brian Porter,2698.0,pre-trt,11.0,6.0,8.25,1.65
8529.0,Aaron Walker,4038.0,pre-trt,7.0,27.0,33.96,6.792
6251.0,Lisa Wilson,3237.0,pre-ctrl,9.0,9.0,10.43,2.086
2437.0,Brian Miller,4201.0,pre-trt,5.0,12.0,15.79,3.158
6178.0,Nicholas Evans,2591.0,pre-ctrl,6.0,16.0,14.96,2.992
9525.0,Jessica Hernandez,4613.0,pre-ctrl,6.0,24.0,15.21,3.0420000000000003
2419.0,Teresa Haynes,3072.0,pre-ctrl,11.0,22.0,18.21,3.6420000000000003
9288.0,Angela Maynard,1117.0,pre-trt,7.0,19.0,24.14,4.828
6149.0,Stephanie Gregory,1476.0,pre-ctrl,10.0,11.0,3.5,0.7
4204.0,Phyllis Hess,334.0,pre-ctrl,2.0,15.0,8.96,1.7920000000000003
7227.0,Stephen Martin,335.0,pre-ctrl,11.0,10.0,11.48,2.2960000000000003
9614.0,Emily Blair,2551.0,pre-trt,1.0,22.0,25.2,5.04
9979.0,Hannah Holland,4323.0,pre-trt,10.0,23.0,8.32,1.6640000000000001
6736.0,Adam Hoffman,752.0,pre-trt,5.0,10.0,4.89,0.978
5867.0,Holly Roberts,3674.0,pre-ctrl,10.0,21.0,15.65,3.13
5706.0,Jeffrey Brown,2788.0,pre-ctrl,5.0,16.0,20.9,4.18
3148.0,Sarah Keith,1835.0,pre-trt,8.0,11.0,14.8,2.96
8952.0,Sean Weeks,1987.0,pre-ctrl,4.0,25.0,21.12,4.224
6441.0,Tony Lloyd,4873.0,pre-ctrl,9.0,27.0,22.0,4.4
1170.0,Caleb Davidson,3443.0,pre-trt,5.0,10.0,9.08,1.816
4786.0,Andrew Patterson,1597.0,pre-trt,10.0,12.0,5.61,1.122
8786.0,Joshua Ellis,864.0,pre-ctrl,11.0,25.0,20.36,4.072
9401.0,Cassandra Lewis,4495.0,pre-trt,3.0,30.0,12.61,2.522
7982.0,Sabrina Wallace,3185.0,pre-ctrl,1.0,15.0,17.9,3.5799999999999996
7226.0,Derek Allison,4086.0,pre-trt,6.0,29.0,36.2,7.24
279.0,Taylor Dawson,2916.0,pre-ctrl,3.0,29.0,30.3,6.0600000000000005
5895.0,Allison Yoder,1143.0,pre-ctrl,10.0,18.0,18.11,3.622
1873.0,Jo Brown,619.0,pre-ctrl,8.0,15.0,21.51,4.3020000000000005
5183.0,Jennifer Mcdowell,701.0,pre-trt,9.0,7.0,6.52,1.3039999999999998
4608.0,Matthew Fry,706.0,pre-trt,5.0,14.0,17.81,3.562
2732.0,Jose Nolan,938.0,pre-trt,4.0,30.0,24.69,4.938000000000001
8633.0,Richard Meza,688.0,pre-ctrl,5.0,15.0,13.37,2.674
6542.0,Michael Moore PhD,4660.0,pre-trt,3.0,14.0,13.31,2.662
6554.0,Philip Anderson,398.0,pre-trt,3.0,6.0,8.08,1.616
1707.0,Joyce Bishop,4850.0,pre-trt,4.0,7.0,6.59,1.318
5568.0,Patricia Ali,2344.0,pre-ctrl,4.0,10.0,14.32,2.864
518.0,Raymond Galvan,2318.0,pre-trt,9.0,5.0,7.15,1.4300000000000002
1730.0,Corey Green,42.0,pre-ctrl,3.0,24.0,10.39,2.0780000000000003
892.0,Dr. Robert White,222.0,pre-ctrl,11.0,14.0,20.98,4.196
5675.0,Joseph Copeland,4433.0,pre-trt,5.0,23.0,22.8,4.5600000000000005
6358.0,Matthew King,4072.0,pre-ctrl,9.0,25.0,14.86,2.972
6721.0,Jonathan Francis,1443.0,pre-ctrl,7.0,27.0,35.18,7.036
5893.0,Carmen Hardy,1328.0,pre-trt,1.0,18.0,26.39,5.2780000000000005
5883.0,Kendra Andersen,2113.0,pre-ctrl,8.0,12.0,8.77,1.754
6888.0,Jennifer Welch,689.0,pre-ctrl,8.0,5.0,0.99,0.198
1906.0,Heather Ryan,2629.0,pre-ctrl,7.0,17.0,21.22,4.244
6078.0,Jeff Hays,4075.0,pre-trt,10.0,26.0,22.14,4.428
9927.0,Chloe Marshall,2666.0,pre-ctrl,9.0,17.0,12.51,2.502
4217.0,Kimberly Blair,2332.0,pre-ctrl,7.0,22.0,12.8,2.56
1861.0,Frederick Ramirez,3871.0,pre-ctrl,5.0,21.0,9.67,1.934
6445.0,Ariel Williams,1683.0,pre-ctrl,2.0,21.0,28.67,5.734
1682.0,Jim Thompson,1073.0,pre-ctrl,6.0,9.0,13.39,2.678
2164.0,Melissa Walker,414.0,pre-trt,2.0,15.0,21.42,4.284000000000001
2760.0,Mason Williams,36.0,pre-trt,6.0,9.0,4.55,0.9099999999999999
6546.0,Nathan Jackson,2494.0,pre-ctrl,6.0,13.0,16.02,3.2039999999999997
6533.0,Angela Howard,3120.0,pre-ctrl,9.0,15.0,21.09,4.218
9020.0,Derrick Santiago,503.0,pre-trt,3.0,25.0,30.73,6.146
6949.0,Carrie Craig,3454.0,pre-ctrl,5.0,27.0,39.7,7.94
2441.0,Sean Powell,3496.0,pre-trt,11.0,8.0,6.47,1.294
108.0,Thomas Garcia,1376.0,pre-trt,6.0,5.0,6.71,1.342
9341.0,Katherine Davis,1862.0,pre-ctrl,1.0,5.0,6.76,1.3519999999999999
2662.0,Jennifer Berry,3131.0,pre-ctrl,5.0,24.0,27.28,5.456
2369.0,David Lewis,3292.0,pre-ctrl,1.0,7.0,4.69,0.9380000000000001
